Support,CB,Titre,Auteur,Localisation,Cote,Statut,"Année acquisition","Année publication","Nb prêts année","Nb réservations année","Nb prêts totaux"
LI,C2400000185,"IPad édition iOS 10 pour les nuls",,MED3A,"Doc./000 MAT",0,2017,2016,1,1,1
LI,C2400000208,"Bases de données","Jean-Luc Hainaut",MED3A,"Doc./004 PRO",0,2017,2015,5,3,5
LI,C2400000219,"MacOS Sierra pour les nuls",,MED3A,"Doc./006 MAC",0,2017,2016,0,0,
LI,C2400000218,"Gérer mon univers Apple","Paul Durand Degranges",MED3A,"Doc./006 MAC",0,2017,2016,1,0,1
LI,C2400000216,"La boîte à outils des réseaux sociaux","Cyril Bladier",MED3A,"Doc./002 SOC",0,2017,2016,3,2,3
LI,C2400000200,AngularJS,"[Sébastien Ollivier, Pierre-Alexandre Gury]",MED3A,"Doc./004 PRO",0,2017,2015,2,0,2
LI,C2400000190,"Intelligence artificielle","Tristan Cazenave,...",MED3A,"Doc./000 ABC",0,2017,2011,4,0,4
LI,C2400000205,"Le grand livre d'Arduino","Erik Bartmann",MED3A,"Doc./000 MAT",0,2017,2014,3,0,3
LI,C2400000204,UNIX,"[Michel Dutreix]",MED3A,"Doc./006 LIN",0,2017,2015,4,1,4
LI,C2400000220,Node.js,"[Julien Fontanet, Olivier Lambert]",MED3A,"Doc./004 PRO",0,2017,2015,3,2,3
LI,C2400000191,"Les bases de données NoSQL et le big data","Rudi Bruchez",MED3A,"Doc./004 PRO",0,2017,2015,5,5,5
LI,C2400000189,"PowerPoint 2016","[Myriam Gris]",MED3A,"Doc./005 PRE",0,2017,2016,0,0,
LI,C2400000215,"Raspberry Pi A+, B+ et 2","Christian Tavernier",MED3A,"Doc./000 MAT",0,2017,2015,6,1,6
LI,C2400000214,"Tablettes Android","[Servane Heudiard]",MED3A,"Doc./000 MAT",0,2017,2016,1,0,1
LI,C2400000196,Cryptographie,"Pierre Vigoureux",MED3A,"Doc./002 ENJ",0,2017,2016,6,1,6
LI,C2400000197,"Facebook pour les nuls","Carolyn Abram, Leah Pearlman",MED3A,"Doc./002 SOC",0,2017,2016,0,0,
LI,C2400000186,"Office 2016","Wallace Wang",MED3A,"Doc./005 BUR",0,2017,2016,2,0,3
LI,C2400000187,"L'âge du faire","Michel Lallement",MED3A,"Doc./000 ABC",0,2017,2015,5,2,5
LI,C2400000188,"Créer son site Web",,MED3A,"Doc./002 WEB",0,2017,2016,2,4,2
LI,C2400000203,"Android 5","[Nazim Benbourahala]",MED3A,"Doc./006 MOB",0,2017,2015,4,0,4
LI,C2400000202,"Les réseaux sociaux","Yasmina Salmandjee-Lecomte",MED3A,"Doc./002 SOC",0,2017,2016,1,0,1
LI,,"Les drones","Rodolphe Jobard",MED3A,,-2,2017,2016,0,1,
LI,C2400000192,"À l'aventure avec Arduino","Becky Stewart",MED3A,"Doc./000 MAT",0,2017,2015,2,0,2
LI,C2400000193,"L'intelligence artificielle en images","Henry Brighton & Howard Selina",MED3A,"Doc./000 ABC",0,2017,2015,1,0,1
LI,C2400000194,"La nouvelle servitude volontaire",,MED3A,"Doc./000A BC",0,2017,2016,3,2,3
LI,C2400000195,"Lettres à Alan Turing","réunies et présentées par Jean-Marc Lévy-Leblond",MED3A,"Doc./000 ABC",0,2017,2016,1,0,1
LI,C2400000207,"Word 2016 pour Mac ",,MED3A,"Doc./005 TXT",0,2017,2016,0,0,
LI,C2400000206,"JQuery - Le framework javascript pour des sites dynamiques et interactifs ",,MED3A,"Doc./004 PRO",0,2017,2016,1,0,1
LI,C2400000213,"Facebook ",,MED3A,"Doc./002 SOC",0,2017,2016,2,0,2
LI,C2400000209,"Projets Arduino","Brock Craft",MED3A,"Doc./000 MAT",0,2017,2016,3,1,3
LI,C2400000210,Processing,"Jean-Michel Géridan, Jean-Noël Lafargue",MED3A,"Doc./004 PRO",0,2017,2016,3,2,3
LI,C2400000211,"Raspberry Pi et l'ESP 8266 pour la domotique","Marc-Olivier Schwartz,...",MED3A,"Doc./000 MAT",0,2017,2016,3,3,3
LI,C2400000212,"Sociologie du numérique","Dominique Boullier",MED3A,"Doc./000 ABC",0,2017,2016,2,0,2
LI,C2400000078,"WordPress 4.5","[Christophe Aubry]",MED3A,"Doc./002 WEB",0,2017,2016,3,4,3
LI,C2400000080,"Mes tout premiers pas avec Windows 10","Servane Heudiard",MED3A,"Doc./006 WIN",0,2017,2016,2,0,2
LI,C2400000076,"Du C au C++","[Frédéric Drouillon]",MED3A,"Doc./004 PRO",0,2017,2014,2,0,2
LI,C2400000070,"Drupal 8","Christophe Aubry",MED3A,"Doc./002 WEB",0,2017,2015,0,0,
LI,C2400000069,"LibreOffice Calc 5",,MED3A,"Doc./005 CAL",0,2017,2016,2,0,2
LI,C2400000068,Linux,"[Nicolas Pons]",MED3A,"Doc./006 LIN",0,2017,2016,3,2,3
LI,C2400000067,"Word 2016","Dan Gookin",MED3A,"Doc./005 TXT",0,2017,2016,1,0,2
LI,C2400000066,"La tête dans la toile","Xavier de La Porte",MED3A,"Doc./002 ENJ",0,2017,2016,0,0,
LI,C2400000065,"LibreOffice Writer 5",,MED3A,"Doc./005 TXT",0,2017,2016,1,0,1
LI,C2400000064,"Java 8","[Thierry Groussard]",MED3A,"Doc./004 PRO",0,2017,2014,3,0,3
LI,C2400000075,"Macros et langage VBA","Frédéric Le Guen",MED3A,"Doc./005 CAL",0,2017,2015,4,0,5
LI,C2400000073,"Mouvement, lumière et son avec Arduino et Raspberry Pi","Simon Monk",MED3A,"Doc./000 MAT",0,2017,2016,5,3,5
LI,C2400000072,"Apprendre la programmation par le jeu","Vincent Maille",MED3A,"Doc./004 PRO",0,2017,2015,6,5,6
LI,C2400000071,"Réseaux informatiques","[José Dordoigne]",MED3A,"Doc./003 RES",0,2017,2015,3,1,3
LI,C2400000053,"Lire et penser en milieux numériques","N. Katherine Hayles",MED3A,"Doc./000 ABC",0,2017,2016,1,0,1
LI,C2400000054,Surveillance://,,MED3A,"Doc./000 ABC",0,2017,2016,3,2,3
LI,C2400000055,"La silicolonisation du monde","Éric Sadin",MED3A,"Doc./000 ABC",0,2017,2016,3,1,3
LI,C2400000056,"Excel 2016","Greg Harvey",MED3A,"Doc./005 CAL",0,2017,2016,5,0,6
LI,C2400000057,"Guide WordPress","Patrick Lenormand",MED3A,"Doc./002 WEB",0,2017,2016,6,11,6
LI,C2400000058,"Le livre de Windows 10 et internet","Jean-François Sehan",MED3A,"Doc./006 WIN",0,2017,2016,4,2,4
LI,C2400000352,"Réaliser des graphiques avec Excel : 30 modèles percutants pour présenter des synthèses, analyser des résultats et construire des simulations visuelles","Frédéric  Rosard, auteur du texte ; Jean-Marc  Lagoda     , auteur du texte",MED3A,"Doc./005 CAL",0,2017,2016,1,0,1
LI,C2400000060,"Programmation efficace","Christoph Dürr, Jill-Jênn Vie",MED3A,"Doc./004 PRO",0,2017,2016,2,2,3
LI,C2400000229,"Apprendre à programmer avec Python 3","Gérard Swinnen",MED3A,"Doc./004 PRO",0,2017,2012,5,3,5
LI,C2400000062,Linux,"[Philippe Pinchon]",MED3A,"Doc./006 LIN",0,2017,2016,2,1,2
LI,C2400000157,"Les fondamentaux du langage Perl 5","[Philippe Banquet]",MED3A,"Doc./004 PRO",0,2017,2013,1,0,1
LI,C2400000322,Arduino,"[Nicolas Goilav, Geoffrey Loi]",MED3A,"Doc./000 MAT",0,2017,2015,2,0,2
LI,C2400000162,"A la découverte de Mac OS X 10.12",,MED3A,"Doc./006 MAC",0,2017,2016,1,0,1
LI,C2400000156,"Le big data","Pierre Delort",MED3A,"Doc./000 ABC",0,2017,2015,1,0,2
LI,C2400000155,"Les fabriques de soi ?","Gustavo Gomez-Mejia",MED3A,"Doc./002 ENJ",0,2017,2016,2,0,2
LI,C2400000163,"Tout sur la sécurité informatique","Jean-François Pillou, Jean-Philippe Bay",MED3A,"Doc./003 RES",0,2017,2016,4,1,4
LI,C2400000165,"Premiers pas vers le digital",,MED3A,"Doc./002 WEB",0,2017,2016,2,0,2
LI,C2400000166,"Informatique & numérique à l'usage des seniors et autres débutants","Michèle Germain",MED3A,"Doc./002 MAT",0,2017,2016,2,1,2
LI,C2400000160,"Réparez vous-même votre Apple","Adam Banks, ""MacUser"", iFixit",MED3A,"Doc./006 MAC",0,2017,2015,1,1,1
LI,C2400000174,"Architecture des machines et des systèmes informatiques","Alain Cazes,... Joëlle Delacroix,...",MED3A,"Doc./000 MAT",0,2017,2015,2,2,2
LI,C2400000175,"Tuto Arduino uno","Bert Van Dam",MED3A,"Doc./000 MAT",0,2017,2016,4,1,4
LI,C2400000177,"Réseaux, libertés et contrôle","Benjamin Loveluck",MED3A,"Doc./002 ENJ",0,2017,2015,0,0,
LI,C2400000167,"L'adolescent face à Facebook : ",,MED3A,"Doc./002 SOC",0,2017,2016,0,0,
LI,C2400000168,Ajax,"[Luc Van Lancker]",MED3A,"Doc./004 PRO",0,2017,2015,2,1,2
LI,C2400000169,"Découvrez le langage Swift","Rudy de Visscher",MED3A,"Doc./004 PRO",0,2017,2016,0,0,
LI,C2400000170,"Démarrez avec Arduino","Massimo Banzi et Michael Shiloh",MED3A,"Doc./000 MAT",0,2017,2015,3,0,3
LI,C2400000171,"Analyse de données avec R","François Husson, Sébastien Lê et Jérôme Pagès",MED3A,"Doc./004 PRO",0,2017,2016,4,2,4
LI,C2400000172,"Big data et machine learning","Pirmin Lemberger, Marc Batty, Médéric Morel... [et al.]",MED3A,"Doc./004 PRO",0,2017,2016,4,1,4
LI,C2400000178,"Les smartphones Android","Dan Gookin",MED3A,"Doc./006 MOB",0,2017,2016,0,0,
LI,C2400000183,"La boîte à outils Arduino","Michael Margolis",MED3A,"Doc./000 MAT",0,2017,2015,4,1,4
LI,C2400000173,"Configuration et dépannage de pc",,MED3A,"Doc./001 DEP",0,2017,2016,4,1,4
LI,C2400000184,"Open data","Jean-Philippe Gouigoux",MED3A,"Doc./002 ENJ",0,2017,2016,3,0,3
LI,C2400000079,"Programmer en Java","Claude Delannoy",MED3A,"Doc./004 PRO",0,2017,2016,3,2,3
LI,C2400000082,SCRUM,"Claude Aubry,...",MED3A,"Doc./004 PRO",0,2017,2015,4,1,4
LI,C2400000081,"Word, Excel, PowerPoint & Outlook 2016","Dan Gookin, Greg Harvey & Wallace Wang",MED3A,"Doc./005 BUR",0,2017,2016,3,0,3
LI,C2400000179,"Big Data, penser l'homme et le monde autrement",,MED3A,"Doc./000 ABC",0,2017,2016,3,1,3
LI,C2400000085,"À la découverte de Windows 10","Mathieu Lavant",MED3A,"Doc./006 WIN",0,2017,2016,8,6,8
LI,C2400000084,"PHP 7","[Olivier Heurtel]",MED3A,"Doc./004 PRO",0,2017,2016,2,2,3
LI,C2400000182,"Utiliser le clavier et la souris","Daniel Rougé",MED3A,"Doc./000 MAT",0,2017,2015,3,0,3
LI,C2400000086,"Programmer en langage C","Claude Delannoy",MED3A,"Doc./004 PRO",0,2017,2016,4,2,5
LI,C2400000181,"Le guide des youtubers","Sébastien Moricard & Alain T. Puyssegur",MED3A,"Doc./002 WEB",0,2017,2016,3,3,3
LI,C2400000077,"Raspberry Pi 3 ou Pi Zero - Exploitez tout le potentiel de votre nano-ordinateur ",,MED3A,"Doc./000 MAT",0,2017,2016,3,2,3
LI,C2400000074,"Javascript pour les nuls ",,MED3A,"Doc./004 PRO",0,2017,2016,3,2,3
LI,C2400000164,"Android - Guide de développement d'applications java pour smartphones et tablettes ",,MED3A,"Doc./004 PRO",0,2017,2016,4,1,4
LI,C2400000176,"Sécurité sur Internet ",,MED3A,"Doc./002 ENJ",0,2017,2016,3,0,3
LI,C2400000180,"L'Ordinateur avec Windows 10 pour les nuls ",,MED3A,"Doc./006 WIN",0,2017,2016,3,0,3
PE,C3200005613,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2017,2013,3,0,3
PE,C3200005642,"Compétence Mac","dir. de publ. Mikkel Franck",MED3A,"P 31519 1°RDC 2°Prêt 3e étage ",0,2017,2009,3,0,3
PE,C3200005725,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2017,2013,4,0,4
PE,C3200005721,Freelog,"dir. de publ. Hafida Hamdani",MED3A,"P 31413 1°RDC 2°Prêt 3e étage",0,2017,1993,3,0,3
PE,C3200005762,"Canard PC","dir. de publ. Jérôme Darnaudet",MED1A,"P 31477 1°RDC 2°Prêt 1er étage",0,2017,2003,3,0,3
PE,C3200005775,"Web design","réd. en chef Stéphanie Guillaume",MED3A,"P 31542 1°RDC 2° Prêt 3e étage",0,2017,2008,3,0,3
PE,C3200005886,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2017,2013,0,0,
PE,C3200005929,"Canard PC","dir. de publ. Jérôme Darnaudet",MED1A,"P 31477 1°RDC 2°Prêt 1er étage",0,2017,2003,2,0,2
PE,c3200005945,"Windows & internet pratique","réd. en chef Emmanuel Alexandre",MED3A,"P 31076 1°RDC 2°Prêt au 3e étage",0,2017,2013,0,0,
PE,C3200006013,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2017,2013,3,0,3
PE,C3200006040,"Canard PC","dir. de publ. Jérôme Darnaudet",MED1A,"P 31477 1°RDC 2°Prêt 1er étage",0,2017,2003,2,0,2
PE,C3200006078,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31539 1°RDC 2°Prêt 3e étage",0,2017,1998,4,0,4
PE,C3200006126,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31552 Prêt 3e étage",0,2017,1998,6,0,7
PE,C3200006100,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31539 1°RDC 2°Prêt 3e étage",0,2017,1998,4,0,4
PE,C3200006209,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31539 1°RDC 2°Prêt 3e étage",0,2017,1998,2,0,2
PE,C3200006198,"Linux pratique. Essentiel","dir. de publ. Arnaud Metzler",MED3A,"P 31478 1°Prêt 3e étage",0,2017,1999,2,0,2
PE,C3200006196,"Compétence Mac","dir. de publ. Mikkel Franck",MED3A,"P 31519 1°RDC 2°Prêt 3e étage ",0,2017,2009,4,0,4
PE,C3200006290,"Canard PC","dir. de publ. Jérôme Darnaudet",MED1A,"P 31477 1°RDC 2°Prêt 1er étage",0,2017,2003,1,0,1
PE,C2200005509,Freelog,"dir. de publ. Hafida Hamdani",MED3A,"P 31413 1°RDC 2°Prêt 3e étage",0,2017,1993,3,0,3
PE,C2200005477,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2017,2013,5,0,5
PE,C3200006342,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31552 Prêt 3e étage",0,2017,1998,6,0,6
PE,C3200006337,"Windows & internet pratique","réd. en chef Emmanuel Alexandre",MED3A,"P 31076 1°RDC 2°Prêt au 3e étage",0,2017,2013,4,0,4
PE,C3200006423,"Canard PC","dir. de publ. Jérôme Darnaudet",MED1A,"P 31477 1°RDC 2°Prêt 1er étage",0,2017,2003,0,0,
PE,C3200006440,"Web design","réd. en chef Stéphanie Guillaume",MED3A,"P 31542 1°RDC 2° Prêt 3e étage",0,2017,2008,2,0,2
PE,C3200006468,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2017,2013,3,0,3
PE,C3200006556,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31539 1°RDC 2°Prêt 3e étage",0,2017,1998,3,0,3
PE,C3200006569,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31552 Prêt 3e étage",0,2017,1998,5,0,5
PE,C3200006589,"Canard PC hardware","dir. de publ. Jérôme Darnaudet",MED3A,"P 31556 Prêt 3e étage",0,2017,2012,4,0,4
PE,C3200006700,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2017,2013,6,0,6
PE,C3200006689,"Windows & internet pratique","réd. en chef Emmanuel Alexandre",MED3A,"P 31076 1°RDC 2°Prêt au 3e étage",0,2017,2013,4,0,4
PE,C2200005680,"Canard PC","dir. de publ. Jérôme Darnaudet",MED1A,"P 31477 1°RDC 2°Prêt 1er étage",0,2017,2003,0,0,
PE,C3200006813,"Canard PC","dir. de publ. Jérôme Darnaudet",MED1A,"P 31477 1°RDC 2°Prêt 1er étage",0,2017,2003,2,0,2
PE,C2200005708,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2017,2013,5,0,5
PE,C2200005732,"Compétence Mac","dir. de publ. Mikkel Franck",MED3A,"P 31519 1°RDC 2°Prêt 3e étage ",0,2017,2009,4,0,4
PE,C2200005726,"Linux pratique. Essentiel","dir. de publ. Arnaud Metzler",MED3A,"P 31478 1°Prêt 3e étage",0,2017,1999,4,0,4
PE,C3200006945,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31539 1°RDC 2°Prêt 3e étage",0,2017,1998,1,0,1
PE,C3200007001,"Canard PC","dir. de publ. Jérôme Darnaudet",MED1A,"P 31477 1°RDC 2°Prêt 1er étage",0,2017,2003,0,0,
PE,C3200007018,Freelog,"dir. de publ. Hafida Hamdani",MED3A,"P 31413 1°RDC 2°Prêt 3e étage",0,2017,1993,1,0,1
PE,C3200007022,"Windows & internet pratique","réd. en chef Emmanuel Alexandre",MED3A,"P 31076 1°RDC 2°Prêt au 3e étage",0,2017,2013,5,0,5
PE,C3200007096,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2017,2013,4,0,4
LI,C2400000327,"Les métiers des jeux vidéo et de l'image","Jean-Michel Oullion",MED3A,"Doc./031 SCI",0,2017,2016,0,0,
LI,C2400000333,"Les métiers du web et du digital","Jean-Michel Oullion",MED3A,"Doc./031 SCI",0,2017,2016,0,0,
LI,C2400000328,"Les métiers de la création et du design","Virginie Plaut",MED3A,"Doc./031 SCI",0,2017,2017,1,0,1
PE,C3200007131,"Canard PC","dir. de publ. Jérôme Darnaudet",MED1A,"P 31477 1°RDC 2°Prêt 1er étage",0,2017,2003,3,0,3
PE,C3200007126,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31552 Prêt 3e étage",0,2017,1998,3,0,3
PE,C3200007245,"Web design","réd. en chef Stéphanie Guillaume",MED3A,"P 31542 1°RDC 2° Prêt 3e étage",0,2017,2008,3,0,3
PE,C2200005961,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2017,2013,3,0,3
PE,C3200007364,"Canard PC","dir. de publ. Jérôme Darnaudet",MED1A,"P 31477 1°RDC 2°Prêt 1er étage",0,2017,2003,2,0,2
PE,C3200007354,"Windows & internet pratique","réd. en chef Emmanuel Alexandre",MED3A,"P 31076 1°RDC 2°Prêt au 3e étage",0,2017,2013,5,0,5
PE,C2200006025,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2017,2013,4,0,4
PE,C2200006053,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31539 1°RDC 2°Prêt 3e étage",0,2017,1998,1,0,1
PE,C3200007451,"Canard PC","dir. de publ. Jérôme Darnaudet",MED1A,"P 31477 1°RDC 2°Prêt 1er étage",0,2017,2003,1,0,1
PE,C3200007464,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2017,2013,1,0,1
PE,C3200007658,"Canard PC hardware","dir. de publ. Jérôme Darnaudet",MED3A,"P 31556 Prêt 3e étage",0,2017,2012,4,0,4
PE,C3200008662,"Windows & internet pratique","réd. en chef Emmanuel Alexandre",MED3A,"P 31076 1°RDC 2°Prêt au 3e étage",0,2017,2013,4,0,4
PE,C3200007670,"Compétence Mac","dir. de publ. Mikkel Franck",MED3A,"P 31519 1°RDC 2°Prêt 3e étage ",0,2017,2009,0,0,
PE,C3200007687,"Linux pratique. Essentiel","dir. de publ. Arnaud Metzler",MED3A,"P 31478 1°Prêt 3e étage",0,2017,1999,1,0,1
PE,C3200007706,"Canard PC","dir. de publ. Jérôme Darnaudet",MED1A,"P 31477 1°RDC 2°Prêt 1er étage",0,2017,2003,1,0,1
PE,C3200007704,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2017,2013,4,0,4
PE,C3200007703,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31539 1°RDC 2°Prêt 3e étage",0,2017,1998,0,0,
PE,C3200007728,Freelog,"dir. de publ. Hafida Hamdani",MED3A,"P 31413 1°RDC 2°Prêt 3e étage",0,2017,1993,3,0,3
PE,C3200007902,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31552 Prêt 3e étage",0,2017,1998,2,0,2
PE,C3200007883,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31552 Prêt 3e étage",0,2017,1998,3,0,4
PE,C3200007957,"Canard PC","dir. de publ. Jérôme Darnaudet",MED1A,"P 31477 1°RDC 2°Prêt 1er étage",0,2017,2003,0,0,
PE,C3200007962,"Web design","réd. en chef Stéphanie Guillaume",MED3A,"P 31542 1°RDC 2° Prêt 3e étage",0,2017,2008,2,0,2
PE,C3200007993,"Windows & internet pratique","réd. en chef Emmanuel Alexandre",MED3A,"P 31076 1°RDC 2°Prêt au 3e étage",0,2017,2013,2,0,2
PE,C3200008022,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2017,2013,2,0,2
PE,C3200008280,"Windows & internet pratique","réd. en chef Emmanuel Alexandre",MED3A,"P 31076 1°RDC 2°Prêt au 3e étage",0,2017,2013,2,0,2
PE,C3200008292,"Compétence Mac","dir. de publ. Mikkel Franck",MED3A,"P 31519 1°RDC 2°Prêt 3e étage ",2,2017,2009,0,0,
PE,c3200008361,Freelog,"dir. de publ. Hafida Hamdani",MED3A,"P 31413 1°RDC 2°Prêt 3e étage",2,2017,1993,0,0,
PE,c3200008401,"Linux pratique. Essentiel","dir. de publ. Arnaud Metzler",MED3A,"P 31478 1°Prêt 3e étage",0,2017,1999,2,0,2
PE,c3200008387,"Canard PC","dir. de publ. Jérôme Darnaudet",MED1A,"P 31477 1°RDC 2°Prêt 1er étage",0,2017,2003,1,0,1
PE,c3200008395,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31539 1°RDC 2°Prêt 3e étage",0,2017,1998,0,0,
PE,c3200008452,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2017,2013,0,0,
PE,C3200008547,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31552 Prêt 3e étage",0,2017,1998,0,0,
PE,C3200008585,"Canard PC","dir. de publ. Jérôme Darnaudet",MED1A,"P 31477 1°RDC 2°Prêt 1er étage",0,2017,2003,1,0,1
PE,C3200008606,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2017,2013,1,0,1
PE,C3200008723,"Web design","réd. en chef Stéphanie Guillaume",MED3A,"P 31542 1°RDC 2° Prêt 3e étage",2,2017,2008,0,0,
PE,C3200008805,"Canard PC hardware","dir. de publ. Jérôme Darnaudet",MED3A,"P 31556 Prêt 3e étage",0,2017,2012,1,0,1
PE,C3200008853,"Canard PC","dir. de publ. Jérôme Darnaudet",MED1A,"P 31477 1°RDC 2°Prêt 1er étage",2,2017,2003,0,0,
PE,C3200008852,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31539 1°RDC 2°Prêt 3e étage",2,2017,1998,0,0,
PE,C3200008814,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2017,2013,1,0,1
PE,C3200007645,"Windows & internet pratique","réd. en chef Emmanuel Alexandre",MED3A,"P 31076 1°RDC 2°Prêt au 3e étage",0,2017,2013,1,0,1
PE,C3200008910,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31552 Prêt 3e étage",0,2017,1998,0,0,
PE,C2200006566,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",2,2017,2013,0,0,
PE,C3200009030,"Windows & internet pratique","réd. en chef Emmanuel Alexandre",MED3A,"P 31076 1°RDC 2°Prêt au 3e étage",2,2017,2013,0,0,
